PPP1R12B,axolotl_gene,human_gene,D0,D0.5,D1,D1.5,D2,D3,D4,D5,D7,D9,D10,D12,D14,D16,D18,D20,D22,D24,D26,D28,LFC,ME,LME
11380,axo06190-f_at,RPS27A,15861.49351,15588.60274,15234.27264,15378.83929,15176.8209,15156.14262,15265.96322,15115.82394,15280.98584,15186.23902,15024.9649,6175.032524,5886.858927,5969.761501,15164.37061,15757.99105,15819.9454,15722.53253,15493.73125,15970.55689,-1.42995866,14011.54647,13.77432858
5854,axo06706-f_at,HBA2,19841.69975,22887.90827,24450.71443,20076.0942,19326.50307,14564.23193,15141.20075,13883.09878,15997.25776,13218.42805,19951.04924,6688.850569,7101.303837,4386.350279,14741.14533,9631.955423,10957.04386,8736.568367,10806.41222,6923.035353,-2.17744269,13965.54257,13.769584
7178,axo08085-r_at,LGALS3,14250.98482,16287.34693,15784.07395,15957.22318,15641.6599,15755.23879,14634.83642,15177.78875,14418.18555,14977.62237,15941.73465,6314.733001,5882.834808,6101.900586,15489.70449,14972.03806,14965.10727,15329.35102,14954.39578,15762.27329,-1.27647819,13929.95168,13.76590263
2935,axo10397-f_at,COL3A1,17719.14044,10180.41674,12520.40839,11887.89782,13192.97219,15464.20449,17464.52761,18041.34154,20020.24488,20212.98822,19354.72247,7948.946155,7294.336299,6134.006712,16431.37965,12962.38887,13512.56559,12188.02716,13639.26234,11561.48424,-1.53040697,13886.56309,13.76140196
11364,axo20466-f_at,RPS15,15897.83842,15480.69906,15248.57704,15383.16777,15368.08731,15428.30552,15570.52534,15175.93727,14938.7312,14884.50888,14619.11138,6009.244679,5744.263721,5769.936155,14318.34374,14752.46076,14930.35657,15358.52448,15122.22705,15447.95236,-1.46863673,13772.43994,13.74949655
11399,axo12093-f_at,RPS7,15320.21581,15107.9574,14233.69888,14504.26934,14659.33461,14673.30258,14793.36875,14760.46959,14652.0103,14653.22907,14335.12635,5890.017193,5619.142415,5629.814377,14264.4055,15002.79835,15099.65535,15262.5775,15461.4714,15196.5583,-1.44701475,13455.97115,13.7159589
2074,axo07564-r_at,CAPNS1,13025.17378,14573.54264,14074.19708,14136.28097,13886.26511,14497.71587,14029.42247,14720.46883,13866.94149,14651.98999,15612.97669,6314.731819,6133.355291,6215.915386,15782.06099,15108.56479,14955.21468,15049.38592,15062.60836,15783.49411,-1.08655419,13374.01531,13.70714505
1033,axo09730-r_at,B2M,16870.79104,17324.48685,17873.34451,17067.84153,15049.0104,15275.40489,17160.9048,14075.0751,14189.67573,14727.67423,15062.34735,6180.973695,5825.931406,5674.662911,13322.76584,12616.88373,11912.4373,11938.7072,11041.81719,12840.71574,-1.57192102,13301.57257,13.6993092
11339,axo10335-f_at,RPL5,15309.98236,14379.70043,14379.7104,14199.67215,14143.89648,14195.29293,14085.49847,14007.38473,13925.35031,14079.91496,13614.95884,5699.472677,5441.351156,5518.041723,13881.77086,14349.32248,14596.117,14278.24458,14756.66409,14532.20498,-1.49243578,12968.72758,13.66274932
6021,axo17987-f_at,HIST1H2AG,8522.252019,7663.772395,9480.786298,8610.134148,11848.74797,15183.72344,14473.54797,14823.24822,10916.60019,13771.83327,12537.42109,5614.009112,6524.047542,6308.374484,15820.86653,18581.34096,18483.93115,18495.3246,20438.17843,18538.86114,1.26196,12831.85005,13.64744157
